id	notable_types
/m/026ggxj	/people/person,/sports/pro_athlete,/olympics/olympic_athlete
/m/026gjl4	
/m/026gjyh	/business/business_operation,/business/employer,/organization/organization
/m/026gk4c	/people/person
/m/026gks9	/people/person
/m/026gmbv	/people/person,/people/deceased_person
/m/026gp39	/people/deceased_person,/people/person,/film/director
/m/026gp7s	/film/film
/m/026grlc	/people/person,/american_football/football_player,/sports/pro_athlete
/m/026gs47	
/m/026gs8q	/government/u_s_congressperson,/people/person
/m/026gthy	/transportation/road,/location/location
/m/026gts5	/organization/organization
/m/026gvd4	/people/person,/american_football/football_coach
/m/026gwxm	/location/location
/m/026gx3h	/location/location
/m/026gzl7	/government/political_district,/location/dated_location,/location/location
/m/026h0pz	/people/person,/american_football/football_player,/sports/pro_athlete
/m/026h1cn	/people/person,/music/conductor
/m/026h2js	/award/award_category
/m/026h4dl	
/m/026h59t	
/m/026h5m3	/people/person
/m/026h5zg	/location/location,/geography/geographical_feature,/geography/body_of_water,/geography/river
/m/026h65b	/games/game
/m/026h6t8	/medicine/notable_person_with_medical_condition,/film/person_or_entity_appearing_in_film,/people/person,/film/actor,/music/artist
/m/026h8n1	/people/person,/visual_art/visual_artist
/m/026h9_c	/music/album
/m/026h9r	/film/film_story_contributor,/influence/influence_node,/film/writer,/book/author,/award/award_nominee,/user/narphorium/people/nndb_person,/people/deceased_person,/user/agroschim/default_domain/notable_author_of_a_lit_movement,/people/person
/m/026h_dc	/music/artist
/m/026hd5v	/fictional_universe/fictional_character,/tv/tv_character
/m/026hdgs	
/m/026hg6t	/broadcast/broadcast
/m/026hgj3	/tv/tv_character,/fictional_universe/fictional_character
/m/026hgwg	
/m/026hh2b	/people/deceased_person,/base/americancomedy/borscht_belt_comedian,/people/person,/book/author,/base/americancomedy/comedian,/film/actor,/tv/tv_actor
/m/026hhd_	/time/event,/sports/sports_league_season
/m/026hhq8	/location/location,/location/citytown,/location/dated_location,/location/statistical_region
/m/026hjb7	/tv/tv_series_episode
/m/026hl7g	/time/event,/sports/sports_league_season
/m/026hlzw	/music/album
/m/026hm18	/people/person,/people/deceased_person,/education/academic
/m/026hm5r	/book/author,/people/person,/people/deceased_person
/m/026hnp6	/book/author,/people/person
/m/026hntp	/location/location
/m/026hpwc	/people/person
/m/026hrsy	
/m/026hsb3	/olympics/olympic_athlete,/soccer/football_player,/people/deceased_person,/people/person,/sports/pro_athlete
/m/026htvl	
/m/026hv14	/business/business_operation,/business/employer,/business/brand,/organization/organization
/m/026hvgk	/people/person,/tv/tv_actor
/m/026hy6l	/time/event,/government/general_election
/m/026hzq0	
/m/026j0m8	
/m/026j23r	
/m/026j254	
/m/026j3xl	/people/person
/m/026j43g	/location/location
/m/026j4vw	/location/location
/m/026j534	/soccer/football_player,/people/person,/sports/pro_athlete
/m/026j6pp	/people/person,/influence/influence_node,/tv/tv_actor,/film/actor
/m/026j842	/military/military_conflict,/time/event,/base/argumentmaps/morally_disputed_activity
/m/026j8sc	/people/person,/sports/pro_athlete,/soccer/football_player
/m/026j9qn	/biology/organism_classification
/m/026j_sp	/transportation/road,/location/location
/m/026jbkt	
/m/026jbzj	/location/location
/m/026jd52	/location/location
/m/026jdtc	/location/location
/m/026jhf	/government/politician,/people/person
/m/026jhf8	/music/album
/m/026jjdk	/music/album
/m/026jjv_	/visual_art/visual_artist,/people/deceased_person,/influence/influence_node,/people/person
/m/026jk59	/influence/influence_node,/film/actor,/people/person,/base/engineering/engineering_person,/tv/tv_actor,/projects/project_participant
/m/026jk9s	/location/location
/m/026jkkp	
/m/026jmnc	/sports/pro_athlete,/people/person
/m/026jnln	
/m/026jp4j	/time/event,/government/election
/m/026jpfg	/location/location
/m/026jqsh	
/m/026jrqs	
/m/026jsdg	/people/person
/m/026jtbr	/location/statistical_region,/location/citytown,/location/location,/location/dated_location
/m/026jvvx	/people/person,/book/author
/m/026jw1s	/sports/pro_athlete,/people/person
/m/026jwrf	/book/written_work
/m/026jxl7	/base/engineering/engineering_person,/projects/project_participant,/people/person,/business/board_member
/m/026jz2q	/location/location
/m/026jzf0	/location/location
/m/026k08v	/people/person,/sports/pro_athlete,/sports/golfer
/m/026k0f9	/business/employer,/organization/organization
/m/026k2dl	
/m/026k39t	/music/album
/m/026k3kq	/location/location
/m/026k5nd	/book/written_work,/theater/play,/book/book
/m/026k668	
/m/026k70d	/film/film
/m/026k7st	/people/person
/m/026k8_0	/sports/pro_athlete,/soccer/football_player,/people/person
/m/026kb78	
/m/026kctt	/location/location
/m/026kdgh	/people/person,/people/deceased_person
/m/026kfq	/people/deceased_person,/people/person
/m/026kh3	/music/group_member,/film/actor,/people/person,/music/artist
/m/026kh66	/military/armed_force,/organization/organization
/m/026kh_9	
/m/026kkdq	/business/employer,/education/school,/organization/organization,/education/educational_institution
/m/026klzl	/location/location
/m/026kmgd	
/m/026kng1	/location/location
/m/026kq62	/broadcast/broadcast,/broadcast/radio_station
/m/026kszs	/people/person,/people/deceased_person
/m/026kvxs	/location/statistical_region,/location/location,/location/dated_location,/location/citytown
/m/026kw3n	/location/statistical_region,/location/dated_location,/location/citytown,/location/location
/m/026kw50	
/m/026kx1y	/transportation/road,/location/location
/m/026kzck	/location/location,/aviation/airport
/m/026l2lc	/music/album
/m/026l38q	/location/statistical_region,/location/dated_location,/location/australian_local_government_area,/location/administrative_division,/location/location
/m/026l655	/book/written_work,/book/book,/fictional_universe/work_of_fiction
/m/026l7rq	/baseball/baseball_player,/sports/pro_athlete,/people/deceased_person,/people/measured_person,/people/person
/m/026l963	/base/givennames/given_name,/user/robert/default_domain/given_name
/m/026l9lj	/people/deceased_person,/people/person
/m/026l_29	/people/person
/m/026l_6s	/people/person
/m/026lbfp	
/m/026lfwm	/people/person
/m/026lg2h	/book/author,/people/person
/m/026lhqf	/people/person
/m/026ljk_	/film/film
/m/026ll5x	/people/person,/sports/pro_athlete,/soccer/football_player
/m/026lmcc	
/m/026lngj	/event/disaster,/time/event
/m/026lnpd	/tv/tv_program
/m/026lplz	
/m/026lpt	/user/techgnostic/default_domain/doctor_who_characters,/fictional_universe/character_species
/m/026lq6k	
/m/026lq_n	/tv/tv_program_creator,/people/person,/film/film_story_contributor,/people/deceased_person,/visual_art/visual_artist
/m/026lqhh	/geography/body_of_water,/location/location,/geography/geographical_feature,/geography/river
/m/026lrfs	/people/person,/people/deceased_person
/m/026lvkx	/people/person
/m/026lvp	
/m/026lvv4	/transportation/road,/location/location
/m/026lwgf	/biology/organism_classification
/m/026lylv	
/m/026lyw2	/people/family_name
/m/026lzhd	/book/author,/people/person
/m/026m1xl	/location/location,/location/citytown,/location/statistical_region,/location/dated_location
/m/026m23g	/book/periodical,/business/employer,/book/journal
/m/026m4jt	/government/u_s_congressperson,/government/politician,/people/deceased_person,/base/yalebase/person,/people/person
/m/026m4yj	
/m/026m5fb	/people/person,/sports/pro_athlete,/sports/australian_rules_footballer
/m/026m7m4	/organization/organization,/military/military_unit
/m/026m7zh	/people/person,/government/politician
/m/026m8t9	/soccer/football_player,/sports/pro_athlete,/people/person
/m/026m_c3	/visual_art/visual_artist,/people/person,/people/deceased_person,/law/inventor
/m/026mbng	/people/deceased_person,/people/person
